year,airport,IATA,state,country,"totalpassengers"
2011,Guangzhou Baiyun International Airport,CAN,Guangdong,China,45040340
2010,Guangzhou Baiyun International Airport,CAN,Guangdong,China,40975673
2016,Charles de Gaulle Airport,CDG,‘le-de-France,France,65933145
2015,Paris-Charles de Gaulle Airport,CDG,‘le-de-France,France,65766986
2014,Paris-Charles de Gaulle Airport,CDG,‘le-de-France,France,63813756
2013,Paris-Charles de Gaulle Airport,CDG,‘le-de-France,France,62052917
2012,Paris-Charles de Gaulle Airport,CDG,‘le-de-France,France,61611934
2011,Paris-Charles de Gaulle Airport,CDG,‘le-de-France,France,60970551
2010,Paris-Charles de Gaulle Airport,CDG,‘le-de-France,France,58167062
2016,Soekarno_Hatta International Airport,CGK,Banten,Indonesia,54969536
2015,Soekarno-Hatta International Airport,CGK,Banten,Indonesia,54053905
2014,Soekarno-Hatta International Airport,CGK,Banten,Indonesia,57221169
2013,Soekarno-Hatta International Airport,CGK,Banten,Indonesia,59701543
2012,Soekarno-Hatta International Airport,CGK,Banten,Indonesia,57730732
2011,Soekarno-Hatta International Airport,CGK,Banten,Indonesia,51533187
2010,Soekarno-Hatta International Airport,CGK,Banten,Indonesia,44355998
2016,Charlotte Douglas International Airport,CLT,North Carolina,United States,44422022
2015,Charlotte Douglas International Airport,CLT,North Carolina,United States,44876627
2014,Charlotte Douglas International Airport,CLT,North Carolina,United States,44279504
2013,Charlotte Douglas International Airport,CLT,North Carolina,United States,43456310
2012,Charlotte Douglas International Airport,CLT,North Carolina,United States,41226035
2011,Charlotte Douglas International Airport,CLT,North Carolina,United States,39043708
2010,Charlotte Douglas International Airport,CLT,North Carolina,United States,38254207
2016,Chengdu Shuangliu International Airport,CTU,Sichuan,China,46039137
2015,Chengdu Shuangliu International Airport,CTU,Sichuan,China,42244842
2014,Chengdu Shuangliu International Airport,CTU,Sichuan,China,37712357
2013,Chengdu Shuangliu International Airport,CTU,Sichuan,China,33445817
2012,Chengdu Shuangliu International Airport,CTU,Sichuan,China,31599353
2011,Chengdu Shuangliu International Airport,CTU,Sichuan,China,29073990
2016,Indira Gandhi International Airport,DEL,Delhi,India,55631385
2015,Indira Gandhi International Airport,DEL,Delhi,India,45981773
2014,Indira Gandhi International Airport,DEL,Delhi,India,39752819
2013,Indira Gandhi International Airport,DEL,Delhi,India,36712455
2012,Indira Gandhi International Airport,DEL,Delhi,India,34211608
2011,Indira Gandhi International Airport,DEL,Delhi,India,34729467
2010,Indira Gandhi International Airport,DEL,Delhi,India,28531607
2016,Denver International Airport,DEN,Colorado,United States,58266515
2015,Denver International Airport,DEN,Colorado,United States,54014502
2014,Denver International Airport,DEN,Colorado,United States,53472514
